Date,Description,Amount
2026-05-22,UPI/DR/568052626063/SWIGGY/YESB/swiggy@ybl/Payment,-811.96
2026-05-22,UPI/DR/265555557105/SWIGGY/YESB/swiggy@ybl/Payment,-263.71
2026-05-22,UPI/DR/550341863097/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2143.52
2026-05-22,DMART AVENUE SUPERMART BLR,-1709.80
2026-05-22,FLIPKART INTERNET PVT LTD,-2387.23
2026-05-24,UPI/DR/382578487583/SWIGGY/YESB/swiggy@ybl/Payment,-533.69
2026-05-25,DMART AVENUE SUPERMART BLR,-2551.61
2026-05-25,UPI/DR/396467018767/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-317.40
2026-05-25,UPI/DR/763746182501/OLA/OKAX/ola@okaxis/Payment,-326.88
2026-05-25,APOLLO PHARMACY BENGALURU,-201.14
2026-05-26,UPI/DR/764732926662/OLA/OKAX/ola@okaxis/Payment,-445.33
2026-05-27,UPI/DR/518139787743/ZOMATO/HDFC/zomato@hdfcbank/Payment,-854.34
2026-05-27,INDIAN OIL PETROL PUMP,-1357.43
2026-05-27,ADOBE SYSTEMS SOFTWARE IN,-1691.00
2026-05-28,UPI/DR/184079872330/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1590.19
2026-05-28,UPI/DR/261457683708/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1789.40
2026-05-28,UPI/DR/211821795789/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-161.04
2026-05-28,UPI/DR/338564186307/OLA/OKAX/ola@okaxis/Payment,-201.93
2026-05-28,INDIAN OIL PETROL PUMP,-2401.45
2026-05-30,BOOKMYSHOW PVR ORION MALL,-531.49
2026-05-31,UPI/DR/564477974510/ZOMATO/HDFC/zomato@hdfcbank/Payment,-890.40
2026-06-03,UPI/DR/700115718251/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1887.84
2026-06-03,APOLLO PHARMACY BENGALURU,-647.22
2026-06-03,SPOTIFY INDIA SUBSCRIPTION,-119.00
2026-06-04,UPI/DR/637728876304/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-175.73
2026-06-06,UPI/DR/652866918367/OLA/OKAX/ola@okaxis/Payment,-325.40
2026-06-06,BESCOM ELECTRICITY BILL BBPS,-2792.70
2026-06-07,UPI/DR/596354824358/ZOMATO/HDFC/zomato@hdfcbank/Payment,-463.05
2026-06-07,DMART AVENUE SUPERMART BLR,-2509.25
2026-06-07,UPI/DR/572265975068/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-319.94
2026-06-07,UPI/DR/610844559220/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-303.48
2026-06-07,UPI/DR/967069187819/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-169.46
2026-06-08,ACT FIBERNET BROADBAND AUTOPAY,-1399.00
2026-06-09,UPI/DR/502394605876/ZOMATO/HDFC/zomato@hdfcbank/Payment,-721.70
2026-06-09,DISNEY+ HOTSTAR SUBSCRIPTION,-299.00
2026-06-10,UPI/DR/486220442925/SWIGGY/YESB/swiggy@ybl/Payment,-948.21
2026-06-10,UPI/DR/431114711499/SWIGGY/YESB/swiggy@ybl/Payment,-694.56
2026-06-10,GOOGLE ONE STORAGE IN,-130.00
2026-06-11,UPI/DR/969620922537/SWIGGY/YESB/swiggy@ybl/Payment,-747.05
2026-06-11,AIRTEL POSTPAID BILL BBPS,-799.00
2026-06-13,UPI/DR/453444564252/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-151.21
2026-06-14,UPI/DR/231102325037/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-343.91
2026-06-14,NACH DR STAR HEALTH INSURANCE PREM,-2450.00
2026-06-15,UPI/DR/893894180208/SWIGGY/YESB/swiggy@ybl/Payment,-326.56
2026-06-15,DMART AVENUE SUPERMART BLR,-2625.36
2026-06-15,NETFLIX.COM MUMBAI IN,-649.00
2026-06-16,INDIAN OIL PETROL PUMP,-3423.05
2026-06-17,UPI/DR/427280841913/ZOMATO/HDFC/zomato@hdfcbank/Payment,-713.84
2026-06-17,DMART AVENUE SUPERMART BLR,-2224.66
2026-06-17,NEFT-AXISP00456123-ACME SOFTWARE PVT LTD-SALARY CREDIT,142000.00
2026-06-19,UPI/DR/627618606925/SWIGGY/YESB/swiggy@ybl/Payment,-742.83
2026-06-19,UPI/DR/769052614524/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-204.91
2026-06-19,UPI/DR/481102275256/OLA/OKAX/ola@okaxis/Payment,-202.70
2026-06-20,SONYLIV PREMIUM SUBSCRIPTION,-299.00
2026-06-21,APOLLO PHARMACY BENGALURU,-1263.97
2026-06-22,UPI/DR/594860505346/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-271.25
2026-06-23,UPI/DR/991266437261/OLA/OKAX/ola@okaxis/Payment,-394.71
2026-06-24,BOOKMYSHOW PVR ORION MALL,-500.68
2026-06-25,DMART AVENUE SUPERMART BLR,-2129.81
2026-06-25,UPI/DR/663133043205/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-268.68
2026-06-26,UPI/DR/567202569882/SWIGGY/YESB/swiggy@ybl/Payment,-525.14
2026-06-26,UPI/DR/268920448823/SWIGGY/YESB/swiggy@ybl/Payment,-620.65
2026-06-26,UPI/DR/412508425107/ZOMATO/HDFC/zomato@hdfcbank/Payment,-620.80
2026-06-26,UPI/DR/657267672673/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-188.89
2026-06-27,UPI/DR/523806851630/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-178.38
2026-06-27,ADOBE SYSTEMS SOFTWARE IN,-1691.00
2026-06-28,UPI/DR/694625772125/SWIGGY/YESB/swiggy@ybl/Payment,-845.26
2026-06-28,DMART AVENUE SUPERMART BLR,-1894.25
2026-06-28,UPI/DR/992262914742/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-363.35
2026-06-28,UPI/DR/161301109400/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-190.34
2026-06-28,UPI/DR/725862764272/OLA/OKAX/ola@okaxis/Payment,-193.82
2026-06-29,DMART AVENUE SUPERMART BLR,-2241.35
2026-06-29,UPI/DR/331520083428/OLA/OKAX/ola@okaxis/Payment,-183.43
2026-06-29,BOOKMYSHOW PVR ORION MALL,-422.97
2026-06-30,APOLLO PHARMACY BENGALURU,-777.82
2026-07-01,UPI/DR/597697685992/SWIGGY/YESB/swiggy@ybl/Payment,-673.95
2026-07-01,UPI/DR/640890893830/ZOMATO/HDFC/zomato@hdfcbank/Payment,-363.22
2026-07-02,UPI/DR/759306933800/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-418.55
2026-07-03,UPI/DR/181388962187/SWIGGY/YESB/swiggy@ybl/Payment,-773.35
2026-07-03,SPOTIFY INDIA SUBSCRIPTION,-119.00
2026-07-04,UPI/DR/549849753451/SWIGGY/YESB/swiggy@ybl/Payment,-607.59
2026-07-04,UPI/DR/419983135868/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-394.70
2026-07-05,UPI/DR/991738618253/SWIGGY/YESB/swiggy@ybl/Payment,-889.94
2026-07-05,UPI/DR/408702689660/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2122.55
2026-07-05,UPI/DR/379319167652/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-372.02
2026-07-06,FLIPKART INTERNET PVT LTD,-1502.54
2026-07-06,BESCOM ELECTRICITY BILL BBPS,-2042.58
2026-07-07,UPI/DR/294196389010/BLINKIT/ICIC/blinkit.rzp@icici/Order,-898.96
2026-07-07,FLIPKART INTERNET PVT LTD,-4831.89
2026-07-08,UPI/DR/804038906272/BLINKIT/ICIC/blinkit.rzp@icici/Order,-547.34
2026-07-08,UPI/DR/426858668403/OLA/OKAX/ola@okaxis/Payment,-388.08
2026-07-08,ACT FIBERNET BROADBAND AUTOPAY,-1399.00
2026-07-09,UPI/DR/465953684855/SWIGGY/YESB/swiggy@ybl/Payment,-940.44
2026-07-09,DISNEY+ HOTSTAR SUBSCRIPTION,-299.00
2026-07-10,GOOGLE ONE STORAGE IN,-130.00
2026-07-11,UPI/DR/559837602828/OLA/OKAX/ola@okaxis/Payment,-390.78
2026-07-11,AIRTEL POSTPAID BILL BBPS,-799.00
2026-07-12,UPI/DR/547786530878/SWIGGY/YESB/swiggy@ybl/Payment,-741.30
2026-07-12,UPI/DR/599744920239/SWIGGY/YESB/swiggy@ybl/Payment,-469.11
2026-07-13,FLIPKART INTERNET PVT LTD,-5013.02
2026-07-14,UPI/DR/200745218931/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1312.80
2026-07-14,DMART AVENUE SUPERMART BLR,-2773.07
2026-07-14,NACH DR STAR HEALTH INSURANCE PREM,-2450.00
2026-07-15,NETFLIX.COM MUMBAI IN,-649.00
2026-07-16,UPI/DR/280587758912/ZOMATO/HDFC/zomato@hdfcbank/Payment,-423.14
2026-07-17,FLIPKART INTERNET PVT LTD,-2086.80
2026-07-17,NEFT-AXISP00456123-ACME SOFTWARE PVT LTD-SALARY CREDIT,142000.00
2026-07-19,FLIPKART INTERNET PVT LTD,-1248.48
2026-07-20,UPI/DR/134167933417/SWIGGY/YESB/swiggy@ybl/Payment,-554.48
2026-07-20,UPI/DR/902499485773/OLA/OKAX/ola@okaxis/Payment,-228.90
2026-07-20,SONYLIV PREMIUM SUBSCRIPTION,-299.00
2026-07-22,UPI/DR/162151534404/SWIGGY/YESB/swiggy@ybl/Payment,-229.20
2026-07-24,UPI/DR/487637806665/SWIGGY/YESB/swiggy@ybl/Payment,-641.17
2026-07-24,FLIPKART INTERNET PVT LTD,-4090.00
2026-07-25,UPI/DR/516934935583/SWIGGY/YESB/swiggy@ybl/Payment,-837.30
2026-07-25,UPI/DR/414639330338/SWIGGY/YESB/swiggy@ybl/Payment,-531.51
2026-07-25,UPI/DR/466447325194/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2296.82
2026-07-25,FLIPKART INTERNET PVT LTD,-3665.35
2026-07-27,ADOBE SYSTEMS SOFTWARE IN,-1691.00
2026-07-28,UPI/DR/473514927803/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1181.53
2026-07-29,UPI/DR/551137466242/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1458.00
2026-07-29,UPI/DR/569467321415/BLINKIT/ICIC/blinkit.rzp@icici/Order,-470.16
2026-07-30,UPI/DR/920122692250/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1514.71
2026-07-30,UPI/DR/205472357992/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-322.05
2026-07-30,UPI/DR/101536007069/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-210.75
2026-07-31,UPI/DR/661460380071/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-289.84
2026-07-31,UPI/DR/742899865760/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-352.42
2026-08-01,UPI/DR/221695647622/BLINKIT/ICIC/blinkit.rzp@icici/Order,-458.17
2026-08-01,UPI/DR/859482015798/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-353.38
2026-08-02,UPI/DR/240240636904/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-236.46
2026-08-02,BOOKMYSHOW PVR ORION MALL,-609.48
2026-08-03,SPOTIFY INDIA SUBSCRIPTION,-119.00
2026-08-04,UPI/DR/482230869195/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1030.03
2026-08-04,UPI/DR/837633193326/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-359.28
2026-08-04,UPI/DR/965534944791/OLA/OKAX/ola@okaxis/Payment,-104.58
2026-08-05,UPI/DR/143047032974/ZOMATO/HDFC/zomato@hdfcbank/Payment,-444.12
2026-08-05,UPI/DR/718557876511/OLA/OKAX/ola@okaxis/Payment,-516.31
2026-08-05,BOOKMYSHOW PVR ORION MALL,-1188.47
2026-08-06,UPI/DR/954333012238/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2338.70
2026-08-06,UPI/DR/257402183451/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-257.45
2026-08-06,UPI/DR/322451041541/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-353.76
2026-08-06,BESCOM ELECTRICITY BILL BBPS,-2333.82
2026-08-07,UPI/DR/390411084335/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2253.45
2026-08-08,ACT FIBERNET BROADBAND AUTOPAY,-1399.00
2026-08-09,UPI/DR/807937646473/SWIGGY/YESB/swiggy@ybl/Payment,-517.01
2026-08-09,DISNEY+ HOTSTAR SUBSCRIPTION,-299.00
2026-08-10,UPI/DR/102826728633/SWIGGY/YESB/swiggy@ybl/Payment,-601.45
2026-08-10,UPI/DR/884294157263/ZOMATO/HDFC/zomato@hdfcbank/Payment,-651.20
2026-08-10,GOOGLE ONE STORAGE IN,-130.00
2026-08-11,UPI/DR/951990211124/SWIGGY/YESB/swiggy@ybl/Payment,-469.36
2026-08-11,UPI/DR/967560031704/OLA/OKAX/ola@okaxis/Payment,-192.72
2026-08-11,AIRTEL POSTPAID BILL BBPS,-799.00
2026-08-13,UPI/DR/128815723962/SWIGGY/YESB/swiggy@ybl/Payment,-945.99
2026-08-13,UPI/DR/201527223015/SWIGGY/YESB/swiggy@ybl/Payment,-932.00
2026-08-13,UPI/DR/981081927994/SWIGGY/YESB/swiggy@ybl/Payment,-718.07
2026-08-13,UPI/DR/308548278914/ZOMATO/HDFC/zomato@hdfcbank/Payment,-684.82
2026-08-14,UPI/DR/824020061954/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2347.56
2026-08-14,UPI/DR/495834175350/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-376.02
2026-08-14,UPI/DR/622398544467/OLA/OKAX/ola@okaxis/Payment,-245.04
2026-08-14,NACH DR STAR HEALTH INSURANCE PREM,-2450.00
2026-08-15,UPI/DR/306089499771/ZOMATO/HDFC/zomato@hdfcbank/Payment,-415.36
2026-08-15,UPI/DR/662361686866/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-315.93
2026-08-15,FLIPKART INTERNET PVT LTD,-2853.26
2026-08-15,NETFLIX.COM MUMBAI IN,-649.00
2026-08-16,UPI/DR/238942316331/ZOMATO/HDFC/zomato@hdfcbank/Payment,-829.73
2026-08-16,UPI/DR/903217393976/BLINKIT/ICIC/blinkit.rzp@icici/Order,-548.17
2026-08-16,NEFT-AXISP00456123-ACME SOFTWARE PVT LTD-SALARY CREDIT,142000.00
2026-08-17,UPI/DR/263909170847/OLA/OKAX/ola@okaxis/Payment,-236.34
2026-08-17,INDIAN OIL PETROL PUMP,-3415.12
2026-08-17,FLIPKART INTERNET PVT LTD,-2915.57
2026-08-18,UPI/DR/525661191837/SWIGGY/YESB/swiggy@ybl/Payment,-588.29
2026-08-18,DMART AVENUE SUPERMART BLR,-2867.70
2026-08-18,UPI/DR/847075381348/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-150.11
2026-08-18,UPI/DR/630020751059/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-367.56
2026-08-18,FLIPKART INTERNET PVT LTD,-2411.01
2026-08-19,DMART AVENUE SUPERMART BLR,-2025.21
2026-08-19,UPI/DR/348354462059/OLA/OKAX/ola@okaxis/Payment,-199.80
2026-08-20,UPI/DR/860225460805/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-209.37
2026-08-20,SONYLIV PREMIUM SUBSCRIPTION,-299.00
2026-08-21,UPI/DR/882738338787/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-327.23
2026-08-22,UPI/DR/850861362835/SWIGGY/YESB/swiggy@ybl/Payment,-917.03
2026-08-22,FLIPKART INTERNET PVT LTD,-875.41
2026-08-23,UPI/DR/664525442786/SWIGGY/YESB/swiggy@ybl/Payment,-373.88
2026-08-23,UPI/DR/647239746327/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1093.89
2026-08-23,UPI/DR/971606015499/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1379.71
2026-08-23,DMART AVENUE SUPERMART BLR,-2441.93
2026-08-25,FLIPKART INTERNET PVT LTD,-4284.44
2026-08-25,APOLLO PHARMACY BENGALURU,-1128.91
2026-08-26,UPI/DR/509900702601/ZOMATO/HDFC/zomato@hdfcbank/Payment,-591.98
2026-08-27,UPI/DR/965898146207/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1306.35
2026-08-27,UPI/DR/428854236710/OLA/OKAX/ola@okaxis/Payment,-241.42
2026-08-27,ADOBE SYSTEMS SOFTWARE IN,-1691.00
2026-08-28,UPI/DR/396997785591/ZOMATO/HDFC/zomato@hdfcbank/Payment,-816.30
2026-08-28,UPI/DR/470145565801/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-372.52
2026-08-29,UPI/DR/833583076079/SWIGGY/YESB/swiggy@ybl/Payment,-908.89
2026-08-30,INDIAN OIL PETROL PUMP,-2159.47
2026-09-02,UPI/DR/514512504275/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-251.60
2026-09-02,UPI/DR/145085800467/OLA/OKAX/ola@okaxis/Payment,-338.83
2026-09-03,SPOTIFY INDIA SUBSCRIPTION,-119.00
2026-09-04,UPI/DR/350640731798/BLINKIT/ICIC/blinkit.rzp@icici/Order,-2050.33
2026-09-05,UPI/DR/215992781947/OLA/OKAX/ola@okaxis/Payment,-457.36
2026-09-06,UPI/DR/621021357086/BLINKIT/ICIC/blinkit.rzp@icici/Order,-1207.03
2026-09-06,UPI/DR/919423622929/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-369.02
2026-09-06,BESCOM ELECTRICITY BILL BBPS,-2781.83
2026-09-07,DMART AVENUE SUPERMART BLR,-2163.42
2026-09-07,DMART AVENUE SUPERMART BLR,-1848.61
2026-09-07,UPI/DR/471325936085/THIRD WAVE COFFEE/YESB/thirdwave@ybl/Payment,-361.64
